id_img,paths,label
0,data\train\angry\0.jpg,angry
1,data\train\angry\1.jpg,angry
10,data\train\angry\10.jpg,angry
10002,data\train\angry\10002.jpg,angry
10016,data\train\angry\10016.jpg,angry
10037,data\train\angry\10037.jpg,angry
10038,data\train\angry\10038.jpg,angry
10057,data\train\angry\10057.jpg,angry
10063,data\train\angry\10063.jpg,angry
10069,data\train\angry\10069.jpg,angry
10100,data\train\angry\10100.jpg,angry
10105,data\train\angry\10105.jpg,angry
10115,data\train\angry\10115.jpg,angry
10122,data\train\angry\10122.jpg,angry
10142,data\train\angry\10142.jpg,angry
1015,data\train\angry\1015.jpg,angry
10154,data\train\angry\10154.jpg,angry
10155,data\train\angry\10155.jpg,angry
10158,data\train\angry\10158.jpg,angry
1016,data\train\angry\1016.jpg,angry
10167,data\train\angry\10167.jpg,angry
10178,data\train\angry\10178.jpg,angry
1018,data\train\angry\1018.jpg,angry
10181,data\train\angry\10181.jpg,angry
10192,data\train\angry\10192.jpg,angry
10196,data\train\angry\10196.jpg,angry
10202,data\train\angry\10202.jpg,angry
10207,data\train\angry\10207.jpg,angry
10214,data\train\angry\10214.jpg,angry
10223,data\train\angry\10223.jpg,angry
10226,data\train\angry\10226.jpg,angry
10240,data\train\angry\10240.jpg,angry
10242,data\train\angry\10242.jpg,angry
10250,data\train\angry\10250.jpg,angry
10251,data\train\angry\10251.jpg,angry
10253,data\train\angry\10253.jpg,angry
10265,data\train\angry\10265.jpg,angry
10287,data\train\angry\10287.jpg,angry
10302,data\train\angry\10302.jpg,angry
10310,data\train\angry\10310.jpg,angry
10325,data\train\angry\10325.jpg,angry
10348,data\train\angry\10348.jpg,angry
10359,data\train\angry\10359.jpg,angry
10363,data\train\angry\10363.jpg,angry
10364,data\train\angry\10364.jpg,angry
10373,data\train\angry\10373.jpg,angry
10377,data\train\angry\10377.jpg,angry
10378,data\train\angry\10378.jpg,angry
10385,data\train\angry\10385.jpg,angry
10388,data\train\angry\10388.jpg,angry
1039,data\train\angry\1039.jpg,angry
10394,data\train\angry\10394.jpg,angry
10397,data\train\angry\10397.jpg,angry
10401,data\train\angry\10401.jpg,angry
10420,data\train\angry\10420.jpg,angry
10429,data\train\angry\10429.jpg,angry
10430,data\train\angry\10430.jpg,angry
10431,data\train\angry\10431.jpg,angry
10439,data\train\angry\10439.jpg,angry
10440,data\train\angry\10440.jpg,angry
10441,data\train\angry\10441.jpg,angry
10462,data\train\angry\10462.jpg,angry
10472,data\train\angry\10472.jpg,angry
10475,data\train\angry\10475.jpg,angry
10490,data\train\angry\10490.jpg,angry
10497,data\train\angry\10497.jpg,angry
1051,data\train\angry\1051.jpg,angry
10510,data\train\angry\10510.jpg,angry
10511,data\train\angry\10511.jpg,angry
10541,data\train\angry\10541.jpg,angry
10544,data\train\angry\10544.jpg,angry
10548,data\train\angry\10548.jpg,angry
10563,data\train\angry\10563.jpg,angry
10573,data\train\angry\10573.jpg,angry
10592,data\train\angry\10592.jpg,angry
10595,data\train\angry\10595.jpg,angry
10603,data\train\angry\10603.jpg,angry
10604,data\train\angry\10604.jpg,angry
1061,data\train\angry\1061.jpg,angry
10616,data\train\angry\10616.jpg,angry
10619,data\train\angry\10619.jpg,angry
10623,data\train\angry\10623.jpg,angry
10626,data\train\angry\10626.jpg,angry
10651,data\train\angry\10651.jpg,angry
10656,data\train\angry\10656.jpg,angry
1066,data\train\angry\1066.jpg,angry
10661,data\train\angry\10661.jpg,angry
10666,data\train\angry\10666.jpg,angry
10682,data\train\angry\10682.jpg,angry
10692,data\train\angry\10692.jpg,angry
107,data\train\angry\107.jpg,angry
10714,data\train\angry\10714.jpg,angry
10716,data\train\angry\10716.jpg,angry
10726,data\train\angry\10726.jpg,angry
10729,data\train\angry\10729.jpg,angry
10771,data\train\angry\10771.jpg,angry
10785,data\train\angry\10785.jpg,angry
10786,data\train\angry\10786.jpg,angry
10790,data\train\angry\10790.jpg,angry
10805,data\train\angry\10805.jpg,angry
10812,data\train\angry\10812.jpg,angry
10814,data\train\angry\10814.jpg,angry
10819,data\train\angry\10819.jpg,angry
10821,data\train\angry\10821.jpg,angry
10831,data\train\angry\10831.jpg,angry
10851,data\train\angry\10851.jpg,angry
10874,data\train\angry\10874.jpg,angry
10889,data\train\angry\10889.jpg,angry
10890,data\train\angry\10890.jpg,angry
10894,data\train\angry\10894.jpg,angry
1090,data\train\angry\1090.jpg,angry
10900,data\train\angry\10900.jpg,angry
10904,data\train\angry\10904.jpg,angry
10907,data\train\angry\10907.jpg,angry
10908,data\train\angry\10908.jpg,angry
10913,data\train\angry\10913.jpg,angry
10915,data\train\angry\10915.jpg,angry
10918,data\train\angry\10918.jpg,angry
10925,data\train\angry\10925.jpg,angry
10928,data\train\angry\10928.jpg,angry
10939,data\train\angry\10939.jpg,angry
10942,data\train\angry\10942.jpg,angry
10947,data\train\angry\10947.jpg,angry
10959,data\train\angry\10959.jpg,angry
10961,data\train\angry\10961.jpg,angry
10965,data\train\angry\10965.jpg,angry
10973,data\train\angry\10973.jpg,angry
1098,data\train\angry\1098.jpg,angry
10984,data\train\angry\10984.jpg,angry
10988,data\train\angry\10988.jpg,angry
10989,data\train\angry\10989.jpg,angry
10994,data\train\angry\10994.jpg,angry
11004,data\train\angry\11004.jpg,angry
11008,data\train\angry\11008.jpg,angry
11011,data\train\angry\11011.jpg,angry
11014,data\train\angry\11014.jpg,angry
11018,data\train\angry\11018.jpg,angry
